oracion;intencion;subIntencion
qué es el ies?;charla;todas
cuál es la dirección de ies?;charla;todas
cuál es la dirección de ies?;charla;todas
cuál es su dirección?;charla;todas
dónde queda el ies?;charla;todas
hola;charla;todas
cuáles son los teléfonos de ies?;charla;todas
dónde queda el sum?;charla;todas
las carreras tienen título oficial?;charla;todas
hola los títulos que entregan son oficiales?;charla;todas
los certificados o títulos son oficiales?;charla;todas
cuál es el horario del turno?;charla;todas
a qué hora empieza el turno?;charla;todas
qué turnos hay para cursar;charla;todas
dónde está o dónde queda la bedelía?;charla;todas
cuál es el horario de bedelía?;charla;todas
hola;charla;todas
buenas tardes;charla;todas
buen día;charla;todas
hola qué tal;charla;todas
hola buenos días;charla;todas
hola buenas tardes;charla;todas
hola buenas noches;charla;todas
buenas noches;charla;todas
buenos días;charla;todas
hola  buenos días;charla;todas
hola cómo estás?;charla;todas
¿cómo te llamas?;charla;todas
¿quién te creó?;charla;todas
buen día;charla;todas
buenos días;charla;todas
¿de qué equipo de fútbol sos hincha?;charla;todas
te gusta lo que hacés;charla;todas
cómo te sentís;charla;todas
¿te hicieron acá?;charla;todas
hola buenos días;charla;todas
qué lindo día;charla;todas
¿cómo hicieron para meterte ahí dentro?;charla;todas
yo me llamo;charla;todas
mi nombre es;charla;todas
sos un robot ;charla;todas
sos inteligente;charla;todas
tenés inteligencia;charla;todas
qué tipo de música te gusta;charla;todas
qué otras cosas te gustan;charla;todas
sos muy amable;charla;todas
¿sos hombre o mujer?;charla;todas
te gusta el futbol;charla;todas
quién te programó;charla;todas
gracias;charla;todas
gracias hasta luego;charla;todas
chau;charla;todas
en el ies se dan becas?;generalidades;todas
qué es el doa?;charla;todas
dónde se encuentra el doa?;charla;todas
dónde se encuentra el depatamento de orientación y asesoramiento?;charla;todas
dan algún tipo de beca?;generalidades;todas
con quién puedo hablar o ver en el doa?;charla;todas
nos vemos;charla;todas
quiero información sobre la carrera;generalidades;todas
quisiear que me informe;generalidades;todas
usted puede informarme?;generalidades;todas
deseo información sobre la ;generalidades;todas
estoy buscando información sobre ;generalidades;todas
podría informarme ;generalidades;todas
ando buscando información sobre ;generalidades;todas
me gustaría saber de qué se trata la carrera;generalidades;todas
qué se estudia en la carrera ;generalidades;todas
me gustaría saber sobre la carrera ;generalidades;todas
me podría informar sobre la carrera de agronegocios;generalidades;todas
qué se aprende en ;generalidades;todas
quiero sabér sobre la carrera de turismo;generalidades;todas
quiero estudiar la carrera;generalidades;todas
quiero estudiar inteligencia artificial;generalidades;todas
quiero estudiar recursos humanos;generalidades;todas
quiero estudiar informática;generalidades;todas
quiero estudiar agronegocios;generalidades;todas
quiero estudiar relaciones públicas;generalidades;todas
hola quiero saber algo sobre la carrera de ;generalidades;todas
hola estuve viendo en el sitio web del ies que dictan la carrera de turismo y quiero un poco más de información;generalidades;todas
qué carreras se cursan acá?;generalidades;todas
estoy averiguando sobre ;generalidades;todas
no sé bien qué estudiar;generalidades;todas
me interesa saber sobre la carrera ;generalidades;todas
creo que acá dictan la carrera  me gustaría saber de qué se trata;generalidades;todas
en la página web de ies vimos que está la carrera de queríamos averiguar ;generalidades;todas
estoy interesado en la carrera;generalidades;todas
me interesa saber sobre la carrera ;generalidades;todas
acá dictan la carrera;generalidades;todas
quería saber si acá dictaban la carrera;generalidades;todas
me llegó un mail de ustedes y quería saber un poco más;generalidades;todas
estuve buscando y ví que acá dictan;generalidades;todas
tengo entendido que ustedes dictan la carrera de ;generalidades;todas
hola  vos me podés informar;generalidades;todas
quisiera saber de qué se trata la carrera;generalidades;todas
si me anoto cuántos días voy a tener que venir a clase?;generalidades;todas
cuántas horas de clase por semana tengo que venir;generalidades;todas
cuáles son los horarios de clases;generalidades;todas
¿tenés los horarios de clase?;generalidades;todas
estoy interesado en saber de qué se trata ;generalidades;todas
me gustaría conocer más sobre algunas carreras;generalidades;todas
qué cosas se aprenden en la carrera;generalidades;todas
qué cosas se estudian en la carrera;generalidades;todas
queríamos saber de qué se trata la carrera;generalidades;todas
usted podría decirme cómo tengo que hacer para averiguar sobre la carrera de turismo?;generalidades;todas
qué es la carrera de ;generalidades;todas
no sé qué estudiar;generalidades;todas
qué carreras dictan en ies?;generalidades;todas
quiero que me informe sobre la carrera de inteligencia artificial;generalidades;todas
qué carreras se pueden cursar en ies veintiuno?;generalidades;todas
hola usted puede informarme sobre las carreras;generalidades;todas
de qué puede trabajar el egresado de;trabajo;todas
cuando me reciba de qué voy a poder trabajar;trabajo;todas
cuando termine de qué voy a poder trabajar;trabajo;todas
de qué trabajan los ;trabajo;todas
qué hacen los;trabajo;todas
qué hace el egresado;trabajo;todas
de qué se trabaja;trabajo;todas
qué tareas hace;trabajo;todas
qué tareas desempeña;trabajo;todas
de qué voy a trabajar cuando termine?;trabajo;todas
qué tareas voy a hacer cuando termine?;trabajo;todas
de qué se desempeña el profesional;trabajo;todas
qué hace el egresado?;trabajo;todas
me gustaría saber qué hace el recibido de;trabajo;todas
qué hacen los recibidos de ;trabajo;todas
quisiera saber qué trabajo hace;trabajo;todas
cómo es el día a día ;trabajo;todas
qué cosas hace el egresado;trabajo;todas
qué cosas voy a hacer cuando me reciba;trabajo;todas
qué hacen los que se reciben;trabajo;todas
de qué trabajan los que se reciben;trabajo;todas
qué salida laboral tienen los que se reciben;trabajo;todas
qué salida laboral tienen cuando egresan;trabajo;todas
¿de qué puede trabajar uno cuando se recibe?;trabajo;todas
¿de qué voy a trabajar cuando me reciba?;trabajo;todas
de qué se desempeña el egresado;trabajo;todas
¿una vez que terminás la carrerade qué trabajás?;trabajo;todas
cuando uno termina de cursar la carrera cómo es el trabajo que hace?;trabajo;todas
¿cómo es la salida laboral?;trabajo;todas
¿tiene buena salida laboral?;trabajo;todas
a qué se dedican las personas cuando terminan la carrera;trabajo;todas
¿qué tareas puede hacer la persona que egresa?;trabajo;todas
¿de qué podés trabajar cuando terminás?;trabajo;todas
¿se consigue trabajo?;trabajo;todas
¿qué cosas hace uno cuando se recibe de?;trabajo;todas
¿cuando ya te recibiste qué trabajos podés hacer?;trabajo;todas
y de qué puede trabajar un egresado?;trabajo;todas
¿pagan buenos sueldos?;trabajo;todas
qué materias se ven ;plan;todas
cuál es el plan de estudios?;plan;todas
qué se puede estudiar en ies?;plan;todas
qué se puede estudiar acá;plan;todas
cuál es la oferta educativa de ustedes;plan;todas
qué tenés para ofrecerme;plan;todas
qué carreras se pueden tomar en ies veintiuno?;generalidades;todas
cuántos años dura la carrera;plan;medios
qué se puede aprender en ies;plan;todas
cuál es el plan de estudio ;plan;todas
muy bien! sabrías algo sobre las materias que tendré que rendir en el caso que  me anotara en esta carrera?;plan;todas
qué materias se ven en primer año;plan;todas
listado de materias ;plan;todas
lista de materias;plan;todas
plan de estudio;plan;todas
plan de estudios;plan;todas
qué materias se estudian en ;plan;todas
currícula;plan;todas
cuántas materias hay en ;plan;todas
¿hay que estudiar matemática?;plan;todas
¿cuánto dura la carrera?;plan;todas
quá materias hay en el plan de estudios;plan;todas
cuántos años dura la carrera?;plan;todas
cuántos años tarda la carrera?;plan;todas
¿cuántos semestres dura la carrera?;plan;todas
¿qué materias hay que estudiar?;plan;todas
cómo está organizada la carrera;plan;todas
qué materias voy a tener que estudiar;plan;todas
tiene matemática?;plan;todas
tiene álgebra?;plan;todas
cuál es el plan de estudio de la carrera;plan;todas
y cuánto dura ?;plan;todas
cuál es la duración;plan;todas
qué materias tiene?;plan;todas
me podés decir qué materias hay en la carrera;plan;todas
me podés dar un listado con las materias que hay que cursar;plan;todas
tenés una lista con las materias ;plan;todas
¿cuáles son las materias más fáciles?;plan;todas
¿cuáles son las materias más difíciles?;plan;todas
¿son muchas materias?;plan;todas
¿cuál es la duración de la carrera?;plan;todas
¿qué duración tiene la carrera?;plan;todas
¿cuántos años hay que estudiar para recibirse?;plan;todas
tiene historia?;plan;todas
en el programa de estudio se ve;plan;todas
qué materias tiene en el semestre;plan;todas
qué materias se ven el cuatrimestre;plan;todas
cuáles son las correlativas;plan;todas
qué materias se ven en la carrera;plan;todas
las materias son anuales o semestrales;plan;todas
el cursado es anual o semestral;plan;todas
¿se cursa por año o por semestre?;plan;todas
¿cuántos semestres tiene la carrera?;plan;todas
cuándo empiezan las clases;plan;todas
cuándo comienzan las clases;plan;todas
en qué fecha arranca el cursado ;plan;todas
en qué fecha empiezan las clases;plan;todas
cuándo comienza el semestre;plan;todas
las materias son semestrales;plan;todas
qué materias hay en el primer semestre;plan;todas
qué materias se cursan en el primer semestre;plan;todas
cuáles son las materias de primer año;plan;todas
qué materias hay en primer año;plan;todas
cómo se aprueban las materias;plan;todas
hay que rendir parciales ;plan;todas
qué exámenes se toman;plan;todas
con qué nota se aprueban las materias;plan;todas
cuántos parciales se toman por materia;plan;todas
qué pasa si no apruebo  un parcial;plan;todas
qué pasa si no apruebo un examen final;plan;todas
no sé qué estudiar;plan;todas
tengo ganas de estudiar algo pero no sé bien qué;plan;todas
con qué nota se aprueban los finales;plan;todas
cuánto cuesta la carrera;pagos;precio
cuánto cuesta;pagos;precio
cómo se pude pagar;pagos;medios
cuánto cuesta estudiar;pagos;precio
disculpe quería preguntar cuánto cuesta;pagos;precio
y cuánto cuesta?;pagos;precio
y cuál es el costo de la carrera;pagos;precio
y cuáles son las formas de pago;pagos;medios
cuánto cuesta la carrera;pagos;precio
cuánto cuesta;pagos;precio
cuáles son los medios de pago;pagos;medios
cuánto son los aranceles;pagos;precio
bueno entonces dígame las formas de pago;pagos;medios
cómo se pude pagar;pagos;medios
cuáles son los aranceles;pagos;precio
cuál es el arancel;pagos;precio
qué aranceles hay que pagar;pagos;precio
cuánto cuesta un semestre;pagos;precio
cuánto me costaría la carrera;pagos;precio
cuánto me costaría estudiar;pagos;precio
cuánto cuesta estudiar;pagos;precio
cuál es el costo de estudiar;pagos;precio
cuánto cuesta cursar;pagos;precio
cuál es el precio para cursar;pagos;precio
cuánto es el costo para estudiar;pagos;precio
cuánto cuesta un semestre;pagos;precio
cuánto tengo que pagar;pagos;precio
cuánto me sale el semestre;pagos;precio
cuánto me sale la carrera;pagos;precio
se puede pagar con tarjeta de débito;pagos;medios
se puede pagar con tarjeta de crédito;pagos;medios
se puede pagar con visa;pagos;medios
se puede pagar con mastercard;pagos;medios
se puede pagar con tarjeta naranja;pagos;medios
puedo pagar con cheques;pagos;medios
se puede pagar con pagaré;pagos;medios
puedo pagar con tarjeta de crédito;pagos;medios
se puede pagar con efectivo;pagos;medios
se puede pagar con dólares;pagos;medios
hay algún descuento;pagos;medios
quiero pagar con tarjeta se puede;pagos;medios
cuál es el precio de la carrera;pagos;precio
cuál es el precio;pagos;precio
¿cómo se puede pagar?;pagos;medios
¿cómo se paga?;pagos;medios
tengo que pagar para cursar en ies?;pagos;medios
con qué puedo pagar?;pagos;medios
¿cuándo tengo que pagar?;pagos;precio
¿cuándo tengo que pagar la inscripción?;pagos;precio
¿se paga por adelantado?;pagos;medios
¿se puede pagar todos los meses?;pagos;medios
¿es obligatorio pagar con tarjeta?;pagos;medios
mi papá puede pagar con cheques;pagos;medios
prefiero pagar con pagarés;pagos;medios
prefiero pagar con tarjeta;pagos;medios
hay que pagar todo el semestre;pagos;medios
se puede pagar con efectivo;pagos;medios
cuál es el costo de la carrera;pagos;precio
cuáles son los descuentos;pagos;medios
quiero saber cuál es el precio para cursar la carrera;pagos;precio
estaba interesado en saber cuál es el costo de la carrera;pagos;precio
cómo se paga;pagos;medios
cómo se puede pagar;pagos;medios
cuánto cuesta la matrícula;pagos;precio
hay que pagar matrícula;tramites;requisitos
hay que pagar todo el semestre;pagos;medios
se puede pagar mes a mes;pagos;medios
se puede pagar con tarjeta cordobesa;pagos;medios
quisiera pagar con bancor;pagos;medios
puedo pagar con tarjeta bancor;pagos;medios
se puede pagar con tarjeta de crédito?;pagos;medios
puedo abonar con tarjeta?;pagos;medios
se puede pagar con tarjeta de débito?;pagos;medios
es posible pagar con tarjeta?;pagos;medios
qué precio tiene la matrícula;pagos;precio
creo que voy a pagar con tarjeta;pagos;medios
hay que hacer un cursillo de ingreso?;tramites;cies
hay un curso introductorio;tramites;cies
tengo que tomar un curso introductorio?;tramites;cies
debo tomar un cursillo de ingreso?;tramites;cies
debo tomar un curso introductorio?;tramites;cies
tengo que hacer el cies?;tramites;cies
tengo que hacer un cursillo?;tramites;cies
tengo que hacer alguna inscripción para empezar a cursar;tramites;todas
dónde tengo que inscribirme;tramites;preinscripcion
hay que hacer otros trámites;tramites;todas
cuándo tengo que hacer los trámites;tramites;todas
hay que hacer un curso de ingreso?;tramites;cies
existe un cursillo de ingreso?;tramites;cies
tengo que tomar un curso de ingreso?;tramites;cies
qué es el cursillo de ingreso?;tramites;cies
qué es el cies?;tramites;cies
tengo que hacer el cursillo de ingreso?;tramites;cies
qué materias tiene el cursillo?;tramites;cies
hay un cursillo de ingreso?;tramites;cies
cuándo se cursa el cies?;tramites;cies
cuándo se toma el cursillo de ingreso?;tramites;cies
de qué se trata el cursillo de ingreso?;tramites;cies
hay que tomar un cursillo de ingreso?;tramites;cies
hay que hacer un curso de ingreso?;tramites;cies
hay que hacer un curso nivelatorio?;tramites;cies
como es el curso nivelatorio?;tramites;cies
hay un curso nivelatorio?;tramites;cies
hay un cursillo nivelatorio?;tramites;cies
dan equivalencias?;tramites;equivalencias
qué equivalencias me darían?;tramites;equivalencias
yo cursé en otra carrera me pueden dar materias aprobadas?;tramites;equivalencias
yo cursé en otra universidad existen equivalencias?;tramites;equivalencias
cómo me inscribo;tramites;preinscripcion
cómo tengo que hacer para anotarme;tramites;preinscripcion
cómo me anoto;tramites;preinscripcion
tengo que inscribirme?;tramites;preinscripcion
cómo hago la inscripción;tramites;preinscripcion
hay que hacer algo para inscribirse;tramites;preinscripcion
tengo que inscribirme?;tramites;preinscripcion
quiero anotarme;tramites;preinscripcion
quiero inscribirme;tramites;preinscripcion
qué hay que hacer para anotarse;tramites;preinscripcion
¿qué trámites tengo que hacer para inscribirme?;tramites;preinscripcion
¿qué tengo que hacer para que me inscriban?;tramites;preinscripcion
¿hay que inscribirse?;tramites;preinscripcion
cómo me inscribo en la carrera;tramites;preinscripcion
dónde tengo que inscribirme;tramites;preinscripcion
con quién hablo para inscribirme;tramites;preinscripcion
hay que hacer una preinscripción?;tramites;preinscripcion
tengo que preinscribirme?;tramites;preinscripcion
dónde puedo hacer la preinscripción?;tramites;preinscripcion
dónde se hace la preinscripción?;tramites;preinscripcion
cuál es el primer trámite que tengo que hacer?;tramites;preinscripcion
cuándo tengo que hacer la preinscripción?;tramites;preinscripcion
qué es la preinscripción?;tramites;preinscripcion
puede darme información sobre la preinscripción?;tramites;preinscripcion
cómo hago la preinscripción?;tramites;preinscripcion
quiero preinscribirme;tramites;preinscripcion
vengo para preinscribirme;tramites;preinscripcion
qué tengo que traer para inscribirme;tramites;requisitos
qué papeles tengo que traer para anotarme;tramites;requisitos
tengo que traer el analítico para inscribirme?;tramites;requisitos
¿qué tengo que traer para inscribirme?;tramites;requisitos
tengo que traer algo para inscibirme;tramites;requisitos
cuáles son los requisitos de inscripción;tramites;requisitos
cuáles son los requisitos para matricularme;tramites;requisitos
qué se necesita para matricularse;tramites;requisitos
qué papeles hay que traer para inscribirse;tramites;requisitos
qué documentos son necesarios para poder empezar las clases;tramites;requisitos
qué requisitos hay para ser alumno;tramites;requisitos
cuáles son los requisitos para cursar?;tramites;requisitos
qué requisitos se deben cumplir?;tramites;requisitos
hay algún requisito?;tramites;requisitos
qué documentación tengo que traer?;tramites;requisitos
qué tengo que traer para inscribirme;tramites;requisitos
qué papeles tengo que traer para anotarme;tramites;requisitos
tengo que traer el analítico para inscribirme?;tramites;requisitos
¿qué tengo que traer para inscribirme?;tramites;requisitos
qué papeles hay que traer para inscribirse;tramites;requisitos
qué documentos son necesarios para poder empezar las clases;tramites;requisitos
qué tengo que hacer para inscribirme;tramites;todas
qué tengo que hacer para empezar a cursar?;tramites;todas
qué otros trámites tengo que hacer para inscribirme?;tramites;todas
cuáles son todos los trámites que tengo que hacer?;tramites;todas
cómo es la inscripción;tramites;todas
qué tengo que hacer para empezar;tramites;todas
quiero anotarme;tramites;todas
qué tengo que hacer para anotarme;tramites;todas
cómo me anoto;tramites;todas
qué tengo que hacer para poder cursar?;tramites;todas
qué tengo que hacer para empezar a cursar;tramites;todas
qué trámites hay que hacer para empezar la carrera;tramites;todas
qué tengo que hacer para empezar a cursar;tramites;todas
tengo que inscribirme para poder cursar?;tramites;todas
qué tengo que hacer para ser alumno?;tramites;todas
tengo que hacer algún tipo de trámite?;tramites;todas
hay que hacer algo para empezar a cursar;tramites;todas
me gustaría saber qué trámites hay que hacer;tramites;todas
cuáles trámites tengo que hacer para anotarme;tramites;todas
cómo son los trámites;tramites;todas
cómo hago para empezar;tramites;todas
¿hasta cuándo tengo tiempo para inscribirme?;tramites;todas
¿hasta qé fecha puedo inscribirme?;tramites;todas
¿qué tengo que hacer para ser alumno? ;tramites;todas
¿tengo que pagar antes de inscribirme?;tramites;todas
qué hay que hacer para inscribirse;tramites;todas
qué tengo que hacer para anotarme;tramites;todas
cómo me anoto?;tramites;todas
donde queda el instituto?;generalidades;todas
como llego al instituto?;generalidades;todas
cuales son los horarios que esta abierto el instituto?;generalidades;todas
cual es el mejor turno para cursar?;generalidades;todas
cuantas aulas tienen?;generalidades;todas
como estan equipadas las aulas?;generalidades;todas
cuantos sectores tiene el instituto?;generalidades;todas
tiene comedor?;generalidades;todas
tiene biblioteca?;generalidades;todas
tiene sum?;generalidades;todas
tiene sala de juegos?;generalidades;todas
tiene baños mixtos?;generalidades;todas
tiene sala de informatica?;generalidades;todas
dan material de estudio?;generalidades;todas
tienen libreria propia?;generalidades;todas
en que horarios estan los directores de carrera?;generalidades;todas
como puedo pagar?;pagos;medios
que modalidad de pago tienen?;pagos;medios
puedo pagar con  debito ?;pagos;medios
puedo pagar con efectivo?;pagos;medios
puedo pagar con dolares?;pagos;medios
puedo pagar con tarjeta de credito?;pagos;medios
puedo pagar con pagares?;pagos;medios
puedo pagar con cheques?;pagos;medios
puedo pagar con varios modos a la vez?;pagos;medios
donde pago?;pagos;medios
que precio tiene la matricula?;pagos;precio
cobran inscripcion?;pagos;precio
se pueden pagar algunas materias?;pagos;pagar
se puede pagar con varias tarjetas?;pagos;medios
que interes tiene mi tarjeta?;pagos;medios
tengo que ser el titular de la tarjeta?;pagos;medios
puedo pagar si aparezco en el veraz?;pagos;medios
puedo sacar cuotas en efectivo?;pagos;medios
con que tarjeta tengo menos interes?;pagos;medios
puedo abonar varios semestres?;pagos;medios
puedo pagar cuando me reciba?;pagos;medios
cuanto demora la carrera?;plan;todas
puedo hacer pocas materias?;plan;todas
tienen titulo intermedio?;plan;todas
puedo hacer varios semestres juntos?;plan;todas
cuantas materias maximas puedo hacer?;plan;todas
tengo que cursar semestre completo?;plan;todas
cuantos idiomas tiene?;plan;todas
cuantas materias tiene?;plan;todas
tiene materias opcionales?;plan;todas
como se cursa?;plan;todas
que modalidad tiene?;plan;todas
puedo cursar aveces de mi casa?;plan;todas
tengo muchos profesores?;plan;todas
repiten profesores?;plan;todas
tengo mucha matematica?;plan;todas
son muy cargados los programas?;plan;todas
puedo elegir materias?;plan;todas
donde veo el programa?;plan;todas
el material es escrito o digital?;plan;todas
donde puedo hacer pasantias?;trabajo;todas
son pagas las pasantias?;trabajo;todas
donde puedo pedir trabajo mientras estudio?;trabajo;todas
cuanto es el sueldo promedio?;trabajo;todas
cual es el sueldo promedio?;trabajo;todas
si me recibo mas rapido me pagan mas?;trabajo;todas
cuanto me pagan como junior?;trabajo;todas
se puede trabajar en el estado?;trabajo;todas
puedo hacer mi propia empresa?;trabajo;todas
puedo hacer una cooperativa?;trabajo;todas
puedo dar clases?;trabajo;todas
puedo trabajar mientras estudio?;trabajo;todas
se puede hacer teletrabajo?;trabajo;todas
puedo buscar trabajo en el exterior?;trabajo;todas
puedo trabajar afuera?;trabajo;todas
puedo trabajar remoto?;trabajo;todas
puedo trabajar para la facultad?;trabajo;todas
como es el ambito laboral?;trabajo;todas
cual es la demanda del egresado?;trabajo;todas
existen pasantias?;trabajo;todas
como esta el clima?;charla;todas
a quien votaste?;charla;todas
que numero salen en el quini hoy?;charla;todas
a cuanto esta el dolar?;charla;todas
estas casado?;charla;todas
sos hombre o mujer?;charla;todas
quien te programo?;charla;todas
sos como terminator?;charla;todas
cuanto te pagan;charla;todas
cuanto sale fabricarte?;charla;todas
sos un robot?;charla;todas
de que equipo sos hincha?;charla;todas
vos estudiarias?;charla;todas
me queres comprar alfajores?;charla;todas
puedo publicitar mi trabajo?;charla;todas
cuanto cobra un profesor?;charla;todas
cuanto gana la universidad por semestre?;charla;todas
quien es el dueño?;charla;todas
me pagas la carrera?;charla;todas
quien gana el mundial?;charla;todas
quien creo el mundo?;charla;todas
el titulo tiene validez internacional;trabajo;todas
hay trabajo de;trabajo;todas
que son las practicas profesionalizantes;trabajo;todas
se puede trabajar en estados unidos;trabajo;todas
se puede trabajar en europa;trabajo;todas
te pagan por hacer pasantias;trabajo;todas
tiene demanda la carrera;trabajo;todas
tiene salida laboral;trabajo;todas
tienen programa de pasantias;trabajo;todas
cuanto dura la carrera;plan;todas
dan equivalencias;plan;todas
los libros se entregan en papel;plan;todas
me pasan el programa de las materias;plan;todas
que carga horaria tiene la carrera;plan;todas
que duracion tienen las carreras;plan;todas
que titulo se obtiene con las carreras;plan;todas
se cursan idiomas;plan;todas
como puedo pagar;pagos;medios
como se paga;pagos;medios
cuanto interes tiene el pago con tarjeta;pagos;medios
donde se realizan los pagos;pagos;medios
puedo financiar y pagar al final del semestre;pagos;medios
puedo pagar con tarjeta;pagos;medios
que modalidades de pago existen;pagos;medios
tienen descuentos por pago adelantado;pagos;medios
como es el material de estudio;generalidades;todas
